"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"link with dework task","https://app.dework.xyz/neon-buidl/buildathon-2?taskId=9901643a-373e-468a-91d0-792ea835ff7b","github issue","","TODO","","","","","Github Integration created on Sep 27, 2022 4:06 PM"
"Add assets to Sketchfab also","https://app.dework.xyz/neon-buidl/buildathon-2?taskId=34b3ce51-b127-4c0c-848f-70820cd1ff1d","github issue","","TODO","","","","","Github Integration created on Sep 16, 2022 1:34 PM"
"Workshops: Open Brush / Blender Neonifying","https://app.dework.xyz/neon-buidl/buildathon-2?taskId=353e3e0a-67c5-4e4b-a9a2-222a1a79df41","","","TODO","","","","","jin created on Sep 16, 2022 1:17 PM"
"Collect assets / .spoke files","https://app.dework.xyz/neon-buidl/buildathon-2?taskId=3d3a95db-eba9-448e-a721-3ef725eec7a4","","","TODO","","","","","jin created on Sep 13, 2022 7:14 PM"
