"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"GM Bus Funding - $ROBOT","https://app.dework.xyz/metafactory/main-project-1421?taskId=07973a59-257c-4e0f-b8f4-d7f7bc043ab1","payment,admin","1","DONE","METADREAMER","0x8F942ECED007bD3976927B7958B50Df126FEeCb5","","","DAOFREN created on Aug 8, 2022 3:52 PM, Task completed on Aug 9, 2022 12:32 PM"
"Voiceover","https://app.dework.xyz/metafactory/main-project-1421?taskId=98c1f004-aba1-4e45-a4c7-dd2f503dd617","","","DONE","wero","0x1A3C469A422EcfEEc7258C701cd5cdDe9b5e9322","","","wero created on Jun 13, 2022 3:38 PM, Task completed on Jun 13, 2022 3:38 PM"
"Create a visual 1 pager for Curation Funding","https://app.dework.xyz/metafactory/main-project-1421?taskId=5889b5d3-efe6-4b2d-8ad6-0f4227f59b95","design","","BACKLOG","","","150 USDC","","DamagedGoods created on Jun 2, 2022 10:28 AM"
"Twitter Banner","https://app.dework.xyz/metafactory/main-project-1421?taskId=38b466d4-a89d-4602-8791-22b21c6b2a7a","","1","DONE","pab🐝🐙","0xFBC56Be13C23c18B6864D062e413da3c7e0f74Fb","","","DAOFREN created on May 27, 2022 4:02 PM, Task completed on Jun 2, 2022 12:35 PM"
"Snapshot -> Discord","https://app.dework.xyz/metafactory/main-project-1421?taskId=53c56e81-b6c2-4e17-8fe3-105d38745638","admin,discord,dev","1","DONE","DAOFREN","0x4cCa9821c246acd39a42F34e6ae4E520A8224565","","","DAOFREN created on May 24, 2022 6:21 PM, Task completed on May 28, 2022 7:13 PM"
"Discourse -> Discord implementation","https://app.dework.xyz/metafactory/main-project-1421?taskId=df756656-881a-4216-b00a-5c7adb18f774","admin,discord,dev","1","DONE","METADREAMER,DAOFREN","0x8F942ECED007bD3976927B7958B50Df126FEeCb5,0x4cCa9821c246acd39a42F34e6ae4E520A8224565","","","DAOFREN created on May 24, 2022 6:18 PM, Task completed on May 28, 2022 7:11 PM"
"Write new copy for main website","https://app.dework.xyz/metafactory/main-project-1421?taskId=16b13d4e-7028-4ae0-9332-b36719b7b3af","","","COMMUNITY_SUGGESTIONS","","","","","METADREAMER created on Apr 15, 2022 11:25 AM"
"We should update the website","https://app.dework.xyz/metafactory/main-project-1421?taskId=d83cb3a4-115a-456d-a531-eb80752eeac1","website","","COMMUNITY_SUGGESTIONS","","","","","DAOFREN created on Apr 15, 2022 11:25 AM"
