"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"add community guides / showcase","https://app.dework.xyz/m3/hyperfy-docs-16253?taskId=e51e4f0d-5839-4cca-8f2e-82761458d5af","github issue","","TODO","","","","","Github Integration created on Feb 20, 2024 1:01 PM"
"update to docusaurus 3","https://app.dework.xyz/m3/hyperfy-docs-16253?taskId=86a63254-06a3-4797-a374-84cdab9d7129","github issue","","DONE","","","","","Github Integration created on Feb 20, 2024 1:01 PM, Task completed on May 27, 2024 2:48 PM"
"Apps documentation","https://app.dework.xyz/m3/hyperfy-docs-16253?taskId=db34ae6e-eb57-4c34-93a4-52b75534ca0f","documentation,github issue","","DONE","MetaMike","0xf1C40E8C7c7770e5BD8d8638feEBc80F9D3BA40D","0.5 ETH","March 29, 2024 11:51 AM","Github Integration created on Oct 3, 2023 10:40 PM, Task completed on Mar 27, 2024 11:39 PM"
"Podcast with Ash on World Building","https://app.dework.xyz/m3/hyperfy-docs-16253?taskId=9c557d58-42e3-40ad-8ffc-1e3b7b968e87","","","TODO","","","","","jin created on Oct 1, 2023 10:01 PM"
"Document undocumented features","https://app.dework.xyz/m3/hyperfy-docs-16253?taskId=79661dd3-a403-4870-abf7-90cf908784a9","","","TODO","","","1 WORLD","","jin created on Sep 27, 2023 1:00 AM"
