"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Get assets into boom tools","https://app.dework.xyz/m3/uncanny?taskId=7a463228-93de-4878-a9c9-de93fe15a849","","","TODO","MetaRick,godfreyart","0x2091EC62ef4F423dee1224101664BB9fc125886c,","","","jin created on Sep 22, 2022 5:11 PM"
"WIP shots for computer screens","https://app.dework.xyz/m3/uncanny?taskId=46245448-a1f2-41f4-bbdc-11c1031b22b0","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Jul 11, 2022 2:24 PM, Task completed on Sep 26, 2022 4:23 PM"
"VRM NPCs","https://app.dework.xyz/m3/uncanny?taskId=3d40e1df-08ee-4878-969c-c72e38d3b75a","","","IN_REVIEW","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Jul 11, 2022 2:06 PM"
"add jin scientist doing something","https://app.dework.xyz/m3/uncanny?taskId=3e821b8d-ed25-4f9d-99e8-ff1ffd9bd6f4","","","IN_PROGRESS","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Jul 11, 2022 1:28 PM"
"M3 lab","https://app.dework.xyz/m3/uncanny?taskId=c3656b27-d0c1-4120-b452-f82eeb5070a9","","","IN_REVIEW","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Jul 11, 2022 1:23 PM"
"MetaFactory container","https://app.dework.xyz/m3/uncanny?taskId=189845b3-9bdf-4d5d-8a0a-d3548a0ab5d4","","","IN_PROGRESS","SM Sith Lord,Arashi2,jin","0x09fE8CF0Cf9146911C9dc3442077598fB46aEa0a,0x7C2529De2bE136EC50D70bC6c677dFb0c377A83a,0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Jul 6, 2022 1:20 AM"
"Dank nugz booth","https://app.dework.xyz/m3/uncanny?taskId=d382aefb-15b6-4f02-b721-c0420244c2a4","","","DONE","MetaRick","0x2091EC62ef4F423dee1224101664BB9fc125886c","","","jin created on Jul 6, 2022 12:32 AM, Task completed on Oct 16, 2022 4:07 PM"
"Posters / Screens","https://app.dework.xyz/m3/uncanny?taskId=64a4d198-df82-4383-b05c-5b8b2b55f621","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Jul 6, 2022 12:32 AM, Task completed on Sep 26, 2022 4:24 PM"
