"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Test + add README (spaceship)","https://app.dework.xyz/webaverse/vehicles-mounts?taskId=0ce7f3cd-b6b4-411f-af9f-a584e75af051","github issue","","TODO","","","100 USDC","","jin created on Aug 20, 2022 5:05 PM"
"Improve README + how-to (plane)","https://app.dework.xyz/webaverse/vehicles-mounts?taskId=d0179f38-ad4b-4501-a6f2-23a27498f1bf","github issue","","TODO","","","100 USDC","","jin created on Aug 20, 2022 5:05 PM"
"Update README + example (hovercraft)","https://app.dework.xyz/webaverse/vehicles-mounts?taskId=86d47fd4-f16a-49ac-824e-ef3aa2a22680","github issue","","TODO","","","100 USDC","","jin created on Aug 20, 2022 5:04 PM"
"Update README + test (flying-machine","https://app.dework.xyz/webaverse/vehicles-mounts?taskId=69277a03-fe03-428e-9b66-56534a94d067","github issue","","TODO","","","100 USDC","","jin created on Aug 20, 2022 5:04 PM"
"Create a README with pics (dragon-mount)","https://app.dework.xyz/webaverse/vehicles-mounts?taskId=25005f30-cfb5-44e0-84e9-a9cdc480cfbb","github issue","","TODO","","","100 USDC","","jin created on Aug 20, 2022 5:04 PM"
"Test + Update README (broom)","https://app.dework.xyz/webaverse/vehicles-mounts?taskId=bc8e4e82-8fd3-4e4e-8c02-b9a841f87af6","github issue","","TODO","","","100 USDC","","jin created on Aug 20, 2022 5:04 PM"
